customer_id,company_name,contact_email,country,industry,company_size,acquisition_channel,signup_date,account_created_at
cus_0400bdaed8cb47,Barker LLC,pramos@mitchell.com,US,E-Commerce,1-10,paid_search,2023-01-01,2023-01-01 00:00:00+00:00
cus_9d166e9c6dd64d,Little Group,etrujillo@shaw.com,GB,LegalTech,201-500,referral,2023-01-01,2023-01-01 00:00:00+00:00
cus_3ffad15ff37d41,Jimenez-Sandoval,henrysamuel@garcia.com,US,HR Tech,11-50,outbound_sales,2023-01-02,2023-01-02 00:00:00+00:00
cus_439847dc61624a,Kennedy PLC,sherri27@bates-smith.biz,US,HealthTech,201-500,referral,2023-01-02,2023-01-02 00:00:00+00:00
cus_52761625f8274c,Mccarty-Gutierrez,jean60@church.com,US,AgriTech,11-50,paid_search,2023-01-02,2023-01-02 00:00:00+00:00
cus_55420564f3f748,Anderson Ltd,morganalbert@lewis.com,GB,E-Commerce,201-500,paid_search,2023-01-02,2023-01-02 00:00:00+00:00
cus_25b5e8f5f6bf42,Montoya-Burns,corey41@miller.com,AU,AgriTech,51-200,partner,2023-01-03,2023-01-03 00:00:00+00:00
cus_7affd70e6bba42,Winters-Davis,bankskyle@jackson-hodges.net,SG,HealthTech,201-500,organic,2023-01-03,2023-01-03 00:00:00+00:00
cus_7f4afa7347b141,Parker Inc,hunteremily@zamora-peterson.com,DE,EdTech,201-500,paid_search,2023-01-03,2023-01-03 00:00:00+00:00
cus_a77e456ed1b241,Morales-Smith,tgray@martin.com,US,HealthTech,11-50,partner,2023-01-03,2023-01-03 00:00:00+00:00
cus_061fbfe917c744,"Oconnell, Porter and Myers",mhunt@patton-cobb.com,US,HealthTech,1-10,referral,2023-01-04,2023-01-04 00:00:00+00:00
cus_278c4de9eed541,"Hopkins, Flores and Murphy",gordonsusan@young-lopez.com,NL,Logistics,11-50,paid_search,2023-01-04,2023-01-04 00:00:00+00:00
cus_b306a80815354a,Galvan Inc,nmcknight@cowan.com,AU,Marketing,11-50,outbound_sales,2023-01-04,2023-01-04 00:00:00+00:00
cus_1cff11e56cbc4a,Mitchell Group,claytontami@ford.com,US,HR Tech,201-500,paid_search,2023-01-05,2023-01-05 00:00:00+00:00
cus_0c2ecff3d5ce47,Parker-Joseph,jean37@smith-villanueva.biz,US,Logistics,11-50,organic,2023-01-06,2023-01-06 00:00:00+00:00
cus_4770b1644d8f4b,Lee-Hall,knolan@harris.com,US,LegalTech,201-500,organic,2023-01-06,2023-01-06 00:00:00+00:00
cus_fa96ddb7cdc74b,Wallace-Morales,jonathan51@bean.com,NL,Logistics,201-500,referral,2023-01-06,2023-01-06 00:00:00+00:00
cus_237e133b0c1045,Williams Inc,xkim@barrett-clark.net,SG,SaaS,201-500,partner,2023-01-07,2023-01-07 00:00:00+00:00
cus_d088b8713f5f43,Carter-Mills,emendez@cross-mitchell.com,US,HR Tech,51-200,paid_search,2023-01-07,2023-01-07 00:00:00+00:00
cus_3fc6e5cbb54948,Dean-Mcbride,cynthia45@hernandez.com,US,LegalTech,51-200,organic,2023-01-08,2023-01-08 00:00:00+00:00
cus_16f38bed0aab48,"Lee, Manning and Dougherty",bartlettjoseph@chen.org,US,EdTech,2001+,organic,2023-01-09,2023-01-09 00:00:00+00:00
cus_aec62d7e7ab547,"Lopez, Benson and Medina",cody97@moore.com,US,E-Commerce,501-2000,outbound_sales,2023-01-09,2023-01-09 00:00:00+00:00
cus_f42e91f56e7544,"Raymond, Little and Mullins",salasaudrey@mendoza-peterson.com,CA,EdTech,11-50,referral,2023-01-10,2023-01-10 00:00:00+00:00
cus_ff349f9e79474e,Christensen Ltd,fpowers@williams.com,US,LegalTech,201-500,outbound_sales,2023-01-10,2023-01-10 00:00:00+00:00
cus_5872328631c848,Wallace and Sons,melissamcpherson@casey.com,US,SaaS,51-200,organic,2023-01-11,2023-01-11 00:00:00+00:00
cus_c77a9db3c25d44,Wall-Bates,bthomas@tran-kelley.com,US,HealthTech,201-500,organic,2023-01-11,2023-01-11 00:00:00+00:00
cus_c8ebaaa3de0546,Cuevas-Padilla,perezjasmine@miller.com,GB,AgriTech,51-200,outbound_sales,2023-01-11,2023-01-11 00:00:00+00:00
